ID,COMMAND,CATEGORY,SUBCATEGORY,DESCRIPTION,LEARN_DATE
f6cecaa0-c6b0-11e7-a80a-b88a60dad612,set(),PYTHON,built-in methods,Return a list without duplicated elements,2017-11-11 08:21:41
252437aa-c6b1-11e7-a80a-b88a60dad612,Entry.objects.get(),MONGODB,query database,return not a queryset but exactly the specific object,2017-11-11 08:22:59
7916f384-c6b1-11e7-a80a-b88a60dad612,Entry.update(push__yournestedlist__0=elem),MONGODB,query database ,update an entry model appending elem in nested list element,2017-11-11 08:25:20
0c1257f4-c6c2-11e7-a80a-b88a60dad612,git pull origin master,GIT,git cli,fetch + merge of specific branch to stay update with the last commit ,2017-11-11 10:23:58
e650115a-c6d0-11e7-a80a-b88a60dad612,{% load static %},DJANGO,static file namespacing,to load static folder and handle static file dinamically,2017-11-11 12:10:17
77a6c10e-c6e9-11e7-a80a-b88a60dad612,redirect('/your/path/'),DJANGO,django shortcuts,django method to redirect to preferred url,2017-11-11 15:06:09
f6168d6a-c6eb-11e7-a80a-b88a60dad612,{{ project.description | truncatewords:5 }},DJANGO,built-in template method,used to truncate part of text field if it's too much longer,2017-11-11 15:24:00
e9001d7a-c6f1-11e7-a80a-b88a60dad612,"parseInt(""10"")",JAVASCRIPT,built-in method,force string to int value,2017-11-11 16:06:35
84a6d4ac-c6f8-11e7-a80a-b88a60dad612,.removeClass('btn-primary'),JQUERY,play with class name,remove class name from element object,2017-11-11 16:53:53
a4799c92-c6f8-11e7-a80a-b88a60dad612,.addClass('btn-danger'),JQUERY,play with class name,add class name to element object,2017-11-11 16:54:47
c339e0a8-c700-11e7-a80a-b88a60dad612,"{% for project in projects|slice:"":3"" %}",DJANGO,built-in template method,"|slice:"":3"" takes the first 3 elem of the list",2017-11-11 17:52:54
e7e87b9e-c700-11e7-a80a-b88a60dad612,{% if forloop.first %},DJANGO,if statement,is True if this is the first time of the loop,2017-11-11 17:53:56
678bb9bc-c70e-11e7-a80a-b88a60dad612,"$.get( ""api/v1/projects"", function( data ) {});",JQUERY,get ajax request,get request using javascript ajax system,2017-11-11 19:30:33
3e8fa8b6-c7bd-11e7-a80a-b88a60dad612,import threading,PYTHON,built-in lib,lib to multithreading very usefull,2017-11-12 16:22:07
74e8c78a-c7bd-11e7-a80a-b88a60dad612,import requests,PYTHON,third lib python,"pip install requests, request.get(url_path) to make a get request and take a response",2017-11-12 16:23:38
bd68fc46-c7bd-11e7-a80a-b88a60dad612,time.sleep(int),PYTHON,built-in module,built-in method to wait param passed seconds,2017-11-12 16:25:39
